ref:FR:prix-carburants,brand,name,operator,branch
84140006,TotalEnergies,TotalEnergies,,
45330003,Intermarché,Intermarché,Groupement des Mousquetaires,
45330004,E.Leclerc,E. Leclerc,,
45330002,Carrefour Market,Carrefour Market,,
91380004,Esso,Esso,,
75013023,TotalEnergies,TotalEnergies,,
94594003,BP,BP,BP,
94140004,Total,Total Port Anglais,,
94220004,Total,Relais Total de Conflans,,
94000004,Esso Express,Esso Express,,
91350002,Total,Total,,
91130007,Total,Total,,
45270001,Auchan,Auchan,,
45120002,Super U,,,
45200007,Total Access,Total Access,,
45700006,Carrefour,,,
94200009,BP,BP,,
94430007,Total Access,Total Access,,
11101001,Carrefour,Carrefour,,
11000013,Intermarché,Intermarché,,
11000015,TotalEnergies,Relais Total du Viguier,Total,
11000005,Esso Express,Esso Express,,
11000009,Intermarché,Intermarché,,
11000018,Auchan,Auchan,,
11290002,Dyneff,Dyneff,,
75015034,Shell,Shell,Shell,
11430002,Intermarché,Intermarché,,
11430001,Dyneff,Dyneff,Dyneff,
77350005,Total Access,Total Access,,
18130002,Super U,Super U,Groupement des Mousquetaires,
77690001,,Peugeot Turpin,,
77870002,Auchan,Auchan,,
45570001,Intermarché,Intermarché,Ecomarché,
91260001,Auchan,Auchan,,
77220004,Intermarché,Intermarché,Groupement des Mousquetaires,
94370007,Total,Total,,
77760001,bi1,bi1,,
45330001,TotalEnergies,Total,,
11220001,Dyneff,Dyneff,,
94250001,Esso Express,,esso,
66740003,Carrefour Market,Carrefour Market,,
92160001,Auchan,Auchan Supermarché Antony,Auchan,
13680010,Carrefour Contact,Carrefour Contact,,
13300002,Total,Station Total Le National,Total,
13450001,U Express,,,
13300008,Intermarché,Intermarché,Groupement des Mousquetaires,
13220004,Carrefour Contact,Carrefour Contact,,
13220003,Carrefour,Carrefour,,
66820001,,Écomarché,Groupement des Mousquetaires,
66360001,Dineff,,,
83130004,Intermarché,Intermarché,,
83130008,Eni,Eni,,
83160004,Esso,Esso,Esso,
83160003,Total Access,Relais Total de l'Université,,
13180001,Agip,Station Agip,Agip,
94003002,TotalEnergies,Total Énergies,Total,
13620004,Total,Total,,
77000005,BP,BP,BP,
77000013,Total Access,Relais La Rochette Melun,,
13005013,TotalEnergies,TotalEnergies,Total,
13300011,Carrefour,Carrefour Market,,
94700007,Avia,Avia,Avia,
66160004,TotalEnergies,TotalEnergies,,
13700007,,station essence,,
13180002,Carrefour Market,Carrefour Market,,
30800001,Intermarché,Intermarché,Groupement des Mousquetaires,
30640001,Système U,Station U,,
30800002,Intermarché,,,
31310004,Total,Total Contact,,
31410008,Super U,Super U,,
31390003,,Peyssies - SARL Fontenergie,SARL Fontenergie,
31410001,TotalEnergies,Total,,
31410003,Shell,Station Shell,Shell,
31310002,,,carrefour contact,
75015011,Esso Express,ESSO Express,,
31220001,Super U,Super U,Super U,
31430002,Carrefour,Carrefour Contact,,
31220005,,Station Service,Intermarché,
30300005,Eni,Eni,,
30300011,Avia,Avia,,
13150006,Total Access,Relais d’Argence,,
30900021,Esso,Esso,Esso,
84660001,,Panagiotis,,
13520001,Total Access,,,
13990002,Avia,Le Lutin des Alpilles,Avia,
13310001,Super U,,,
92210003,Esso,Esso,,
92100015,TotalEnergies,Total,,
78150014,Esso Express,Esso Express,Esso Express,
78150011,Carrefour,Carrefour,Esso,
13011023,,Station La Millière,,
78140008,TotalEnergies,TotalEnergies - Relais de Vélizy,TotalEnergies,
78000021,Esso,Esso,,
31410007,Intermarché,Intermarché,,
9350003,Carrefour,Carrefour Contact,Carrefour,
9240004,Carrefour,Carrefour,,
31420004,,Station du Coumatou,,
31360002,Intermarché,Netto,Intermarché,
64530004,Total,Total,Total,
64530002,Intermarché,Intermarché,Groupement des Mousquetaires,
64510001,Intermarché,Intermarché,Groupement des Mousquetaires,
66250001,Total,Total,S.A.S FORMENTY,
66250002,Intermarché,Intermarché,,
66250003,OIL!,Oil France,,
75016022,BP,BP,,
93800003,Esso,Esso,Esso,
92230011,Total Access,Total Access,,
60340001,Carrefour,,,
11160002,Independent,,Commune de Villeneuve-Minervois,
11600005,Dyneff,Dyneff,,
11000003,TotalEnergies,Total,Total,
11000019,E.Leclerc,E.Leclerc,,
11800002,Super U,,,
11700008,Avia,Avia,Avia,
11000012,,Triay Frères,,
11000018,Auchan,Auchan,Auchan,
11000014,Dyneff,Dyneff,,
78140010,Esso,BP,,
78885001,Carrefour,Carrefour,Carrefour,
31400008,Dyneff,,,
75015036,Avia,Avia,,
92320005,Esso,Esso,,
31590003,Avia,Avia,,
60126001,Coccinelle,,,
60190003,Total,Total,,
60190002,Intermarché,Intermarché,,
93190004,BP,,BP,
60110004,TotalEnergies,TotalEnergies,,
60230004,Total Access,Relais Néflier,Elf,
75007004,Total,Total,,
75007004,Total,Total,,
59640002,Total,Relais Total du Pont Loby,Total,
59760002,BP,BP,BP,
31230004,Total,Total,,
32130003,,Carrefour contact station,Carrefour,
32130004,Total,Marty,Garage Marty,
31230003,Intermarché,Intermarché,,
64230006,Carrefour Contact,Carrefour Contact,,
11170002,Intermarché,,,
11310001,,Las Fountetos,,
11290003,TotalEnergies,Total,Total,
11400004,Total,,,
11150002,Système U,Système U,Super U,
65300004,Avia,Avia,Madame Ghislaine CALVET,
65130001,Intermarché,,,
65300003,Elan,Elan,Elan,
65190001,Total,Pécassou Paul,Paul Pécassou,
65200002,Total,Total,,
64360000,,,Intermarché,
80560001,Intermarché,Intermarché,,
62690002,Total,Total,,
62000016,,Station de service Avia,Avia,
62760002,Carrefour Market,Carrefour Market,,
62116001,Carrefour,Carrefour,,
62810001,Carrefour Market,Carrefour Market,,
62690001,Carrefour Market,Carrefour Market,,
80480001,Esso Express,Esso Express,Esso,
80000012,,,Groupement des Mousquetaires,
80044001,Auchan,Auchan,Auchan,
80420004,Intermarché,Intermarché,,
80260001,Carrefour,Carrefour,,
80600002,,Match,,
80600006,E.Leclerc,E. Leclerc,,
80600003,Total,Total,,
80600005,Intermarché,Intermarché,,
95440001,Super U,Super U,,
95440002,,Ecouen,,
95331002,Esso,Esso,Esso,
95460003,TotalEnergies,Total Contact,,
9220001,Spar,Spar,,
9400002,Esso,Esso,,
9400001,Super U,Super U,,
92110010,Total Access,Total Access Pont de Clichy,Total,
93700006,BP,,,
93700004,Total,Relais de Drancy,,
11100013,TotalEnergies,,,
11390001,Dyneff,Dyneff,,
9000007,Carrefour,Carrefour,,
11200002,Dyneff,Station Dyneff,Dyneff,
11120002,Carrefour,,,
66220001,,,Carrefour Market,
11200007,Système U,Utile,,
62120015,Carrefour,Carrefour,,
62380001,Total,,Hanse Sarl,
62500001,Carrefour,Carrefour,Carrefour,
62120013,Netto,Netto,,
92260001,Esso,,,
93300010,Esso,Esso,,
66650002,Carrefour,Carrefour,Carrefour,
66962001,Carrefour,Carrefour,Carrefour,
60260001,Carrefour Market,Carrefour Market,,
60260002,Intermarché,Intermarché,,
95270004,Avia,Avia,,
95380002,Avia,Avia,,
65100001,Carrefour,Carrefour,,
65400001,Carrefour,Carrefour,Carrefour Market,
11700007,Avia,Avia,Avia,
11700009,Intermarché,Intermarché,,
11250001,TotalEnergies,Total,,
93290005,Total,Relais Total de la Croix Pigeot,,
95712003,Total,Total Relais du Cédre,,
93420007,Total,Station Total,Total,
11000016,Carrefour,Carrefour,,
11620001,Dyneff,Dyneff,,
66330001,Total,Total,,
11500002,TotalEnergies,Total,Garage Roosli,
9500002,,Antaq,,
9500001,TotalEnergies,TotalEnergies,,
9340001,U,Station Service Super U,,Verniolle
66420003,Montaner et Fils,Montaner et Fils,,
11370004,Esso,Esso,,
66500001,Super U,Super U,Super U,
66380001,Esso,,,
32300001,Intermarché,Intermarché,Groupement des Mousquetaires,
9000006,E. Leclerc,E. Leclerc,,
66270001,Intermarché,Intermarché,,
71680002,Esso,Esso,Esso,
71680001,Carrefour,Carrefour Crêches,Carrefour,
71000024,TotalEnergies,Total Contact,Total,
65190002,Carrefour,Carburant Carrefour,,
65230003,TotalEnergies,TotalEnergies,,
65000010,Total Access,Total Access,,
65000008,Intermarché,Intermarché,Groupement des Mousquetaires,
65500004,TotalEnergies,Total,,
9210001,Carrefour,Carrefour Market,,
1210001,Carrefour,Station Service Carrefour,Carrefour,
31570002,,Carrefour Contact,,
74540001,TotalEnergies,TotalEnergies,Total,
